thedate,thetime,curName,currCode,unit,buyingVal,invBuyingVal,sellingVal,invSellingVal,middleRate, invMiddleRate
"13 Mar 2019 (Wednesday)","1700","1 Australian Dollar ","AUD","1","2.8855 ","[0.3461]","2.8891 ","[0.3466]","2.8873 ","[0.3463]"
"13 Mar 2019 (Wednesday)","1700","1 Brunei Dollar ","BND","1","3.0132 ","[0.3314]","3.0173 ","[0.3319]","3.0152 ","[0.3316]"
"13 Mar 2019 (Wednesday)","1700","1 Canadian Dollar ","CAD","1","3.0590 ","[0.3264]","3.0634 ","[0.3269]","3.0612 ","[0.3267]"
"13 Mar 2019 (Wednesday)","1700","100 Cambodian Riel ","KHR","100","0.1021 ","[967.18]","0.1034 ","[979.14]","0.1028 ","[973.12]"
"13 Mar 2019 (Wednesday)","1700","1 Chinese Renminbi ","CNY","1","0.6088 ","[1.6405]","0.6096 ","[1.6425]","0.6092 ","[1.6415]"
"13 Mar 2019 (Wednesday)","1700","1 EURO","EUR","1","4.6145 ","[0.2165]","4.6198 ","[0.2167]","4.6171 ","[0.2166]"
"13 Mar 2019 (Wednesday)","1700","100 Hong Kong Dollar ","HKD","100","52.0580 ","[1.9190]","52.1096 ","[1.9209]","52.0838 ","[1.9200]"
"13 Mar 2019 (Wednesday)","1700","100 Indonesian Rupiah ","IDR","100","0.0286 ","[3,486]","0.0287 ","[3,492]","0.0287 ","[3,489]"
"13 Mar 2019 (Wednesday)","1700","100 Japanese Yen","JPY","100","3.6700 ","[27.2143]","3.6745 ","[27.2483]","3.6723 ","[27.2313]"
"13 Mar 2019 (Wednesday)","1700","100 Korean Won ","KRW","100","0.3603 ","[276.7510]","0.3613 ","[277.5113]","0.3608 ","[277.1306]"
"13 Mar 2019 (Wednesday)","1700","100 Phillippine Peso ","PHP","100","7.7440 ","[12.8908]","7.7574 ","[12.9133]","7.7507 ","[12.9020]"
"13 Mar 2019 (Wednesday)","1700","100 Saudi Arabian Riyal ","SAR","100","108.9617 ","[0.9168]","109.0742 ","[0.9178]","109.0179 ","[0.9173]"
"13 Mar 2019 (Wednesday)","1700","1 Singapore Dollar","SGD","1","3.0134 ","[0.3315]","3.0168 ","[0.3318]","3.0151 ","[0.3317]"
"13 Mar 2019 (Wednesday)","1700","1 Swiss Franc ","CHF","1","4.0589 ","[0.2460]","4.0645 ","[0.2464]","4.0617 ","[0.2462]"
"13 Mar 2019 (Wednesday)","1700","100 Taiwanese New Dollar ","TWD","100","13.2147 ","[7.5526]","13.2404 ","[7.5674]","13.2275 ","[7.5600]"
"13 Mar 2019 (Wednesday)","1700","100 Thai Baht ","THB","100","12.9156 ","[7.7301]","12.9364 ","[7.7426]","12.9260 ","[7.7363]"
"13 Mar 2019 (Wednesday)","1700","1 U.K. Pound ","GBP","1","5.3737 ","[0.1859]","5.3806 ","[0.1861]","5.3772 ","[0.1860]"
"13 Mar 2019 (Wednesday)","1700","1 U.S. Dollar ","USD","1","4.0865 ","[0.2445]","4.0905 ","[0.2447]","4.0885 ","[0.2446]"
"13 Mar 2019 (Wednesday)","1700","100 Vietnamese Dong ","VND","100","0.0176 ","[5,671.44]","0.0176 ","[5,677.24]","0.0176 ","[5,674.34]"
"13 Mar 2019 (Wednesday)","1700","1 IMF Special Drawing Right ","SDR","1","-","-","-","-","5.6759 ","[0.1762]"
"13 Mar 2019 (Wednesday)","1700","1 New Zealand Dollar","NZD","1","2.7939 ","[0.3575]","2.7975 ","[0.3579]","2.7957 ","[0.3577]"
"13 Mar 2019 (Wednesday)","1700","100 Myanmar Kyat","MMK","100","0.2703 ","[369.6370]","0.2705 ","[370.0110]","0.2704 ","[369.8239]"
"13 Mar 2019 (Wednesday)","1700","100 Indian Rupee","INR","100","5.8756 ","[17.0004]","5.8822 ","[17.0195]","5.8789 ","[17.0099]"
"13 Mar 2019 (Wednesday)","1700","100 United Arab Emirates Dirham UAE","AED","100","111.2427 ","[0.8979]","111.3728 ","[0.8989]","111.3077 ","[0.8984]"
"13 Mar 2019 (Wednesday)","1700","100 Pakistan Rupee","PKR","100","2.8982 ","[33.9201]","2.9481 ","[34.5039]","2.9232 ","[34.2095]"
"13 Mar 2019 (Wednesday)","1700","100 Nepalese  Rupee","NPR","100","3.6723 ","[27.1996]","3.6765 ","[27.2311]","3.6744 ","[27.2154]"
