thedate,thetime,curName,currCode,unit,buyingVal,invBuyingVal,sellingVal,invSellingVal,middleRate, invMiddleRate
"8 Mar 2019 (Friday)","1700","1 Australian Dollar ","AUD","1","2.8676 ","[0.3481]","2.8725 ","[0.3487]","2.8700 ","[0.3484]"
"8 Mar 2019 (Friday)","1700","1 Brunei Dollar ","BND","1","3.0062 ","[0.3322]","3.0102 ","[0.3326]","3.0082 ","[0.3324]"
"8 Mar 2019 (Friday)","1700","1 Canadian Dollar ","CAD","1","3.0379 ","[0.3288]","3.0413 ","[0.3292]","3.0396 ","[0.3290]"
"8 Mar 2019 (Friday)","1700","100 Cambodian Riel ","KHR","100","0.1020 ","[968.27]","0.1033 ","[980.22]","0.1026 ","[974.21]"
"8 Mar 2019 (Friday)","1700","1 Chinese Renminbi ","CNY","1","0.6083 ","[1.6421]","0.6090 ","[1.6438]","0.6087 ","[1.6430]"
"8 Mar 2019 (Friday)","1700","1 EURO","EUR","1","4.5830 ","[0.2180]","4.5878 ","[0.2182]","4.5854 ","[0.2181]"
"8 Mar 2019 (Friday)","1700","100 Hong Kong Dollar ","HKD","100","52.0898 ","[1.9179]","52.1415 ","[1.9198]","52.1156 ","[1.9188]"
"8 Mar 2019 (Friday)","1700","100 Indonesian Rupiah ","IDR","100","0.0286 ","[3,495]","0.0286 ","[3,501]","0.0286 ","[3,498]"
"8 Mar 2019 (Friday)","1700","100 Japanese Yen","JPY","100","3.6828 ","[27.1244]","3.6867 ","[27.1533]","3.6848 ","[27.1388]"
"8 Mar 2019 (Friday)","1700","100 Korean Won ","KRW","100","0.3594 ","[277.4639]","0.3604 ","[278.2245]","0.3599 ","[277.8437]"
"8 Mar 2019 (Friday)","1700","100 Phillippine Peso ","PHP","100","7.8199 ","[12.7657]","7.8335 ","[12.7880]","7.8267 ","[12.7768]"
"8 Mar 2019 (Friday)","1700","100 Saudi Arabian Riyal ","SAR","100","109.0313 ","[0.9162]","109.1408 ","[0.9172]","109.0861 ","[0.9167]"
"8 Mar 2019 (Friday)","1700","1 Singapore Dollar","SGD","1","3.0062 ","[0.3322]","3.0102 ","[0.3326]","3.0082 ","[0.3324]"
"8 Mar 2019 (Friday)","1700","1 Swiss Franc ","CHF","1","4.0493 ","[0.2466]","4.0553 ","[0.2470]","4.0523 ","[0.2468]"
"8 Mar 2019 (Friday)","1700","100 Taiwanese New Dollar ","TWD","100","13.2304 ","[7.5485]","13.2477 ","[7.5583]","13.2391 ","[7.5534]"
"8 Mar 2019 (Friday)","1700","100 Thai Baht ","THB","100","12.8504 ","[7.7694]","12.8711 ","[7.7819]","12.8607 ","[7.7756]"
"8 Mar 2019 (Friday)","1700","1 U.K. Pound ","GBP","1","5.3537 ","[0.1866]","5.3598 ","[0.1868]","5.3568 ","[0.1867]"
"8 Mar 2019 (Friday)","1700","1 U.S. Dollar ","USD","1","4.0890 ","[0.2443]","4.0930 ","[0.2446]","4.0910 ","[0.2444]"
"8 Mar 2019 (Friday)","1700","100 Vietnamese Dong ","VND","100","0.0176 ","[5,667.97]","0.0176 ","[5,673.76]","0.0176 ","[5,670.86]"
"8 Mar 2019 (Friday)","1700","1 IMF Special Drawing Right ","SDR","1","-","-","-","-","5.6898 ","[0.1758]"
"8 Mar 2019 (Friday)","1700","1 New Zealand Dollar","NZD","1","2.7678 ","[0.3607]","2.7726 ","[0.3613]","2.7702 ","[0.3610]"
"8 Mar 2019 (Friday)","1700","100 Myanmar Kyat","MMK","100","0.2701 ","[369.8998]","0.2703 ","[370.2740]","0.2702 ","[370.0868]"
"8 Mar 2019 (Friday)","1700","100 Indian Rupee","INR","100","5.8504 ","[17.0737]","5.8570 ","[17.0928]","5.8537 ","[17.0832]"
"8 Mar 2019 (Friday)","1700","100 United Arab Emirates Dirham UAE","AED","100","111.3107 ","[0.8973]","111.4409 ","[0.8984]","111.3758 ","[0.8979]"
"8 Mar 2019 (Friday)","1700","100 Pakistan Rupee","PKR","100","2.9000 ","[33.8383]","2.9552 ","[34.4828]","2.9276 ","[34.1575]"
"8 Mar 2019 (Friday)","1700","100 Nepalese  Rupee","NPR","100","3.6564 ","[27.3174]","3.6607 ","[27.3490]","3.6586 ","[27.3332]"
