thedate,thetime,curName,currCode,unit,buyingVal,invBuyingVal,sellingVal,invSellingVal,middleRate, invMiddleRate
"11 Mar 2019 (Monday)","1700","1 Australian Dollar ","AUD","1","2.8809 ","[0.3466]","2.8849 ","[0.3471]","2.8829 ","[0.3469]"
"11 Mar 2019 (Monday)","1700","1 Brunei Dollar ","BND","1","3.0078 ","[0.3320]","3.0117 ","[0.3325]","3.0098 ","[0.3323]"
"11 Mar 2019 (Monday)","1700","1 Canadian Dollar ","CAD","1","3.0470 ","[0.3277]","3.0512 ","[0.3282]","3.0491 ","[0.3280]"
"11 Mar 2019 (Monday)","1700","100 Cambodian Riel ","KHR","100","0.1021 ","[967.05]","0.1034 ","[979.24]","0.1028 ","[973.10]"
"11 Mar 2019 (Monday)","1700","1 Chinese Renminbi ","CNY","1","0.6078 ","[1.6431]","0.6086 ","[1.6452]","0.6082 ","[1.6442]"
"11 Mar 2019 (Monday)","1700","1 EURO","EUR","1","4.5962 ","[0.2173]","4.6023 ","[0.2176]","4.5993 ","[0.2174]"
"11 Mar 2019 (Monday)","1700","100 Hong Kong Dollar ","HKD","100","52.0650 ","[1.9183]","52.1294 ","[1.9207]","52.0972 ","[1.9195]"
"11 Mar 2019 (Monday)","1700","100 Indonesian Rupiah ","IDR","100","0.0286 ","[3,491]","0.0286 ","[3,498]","0.0286 ","[3,494]"
"11 Mar 2019 (Monday)","1700","100 Japanese Yen","JPY","100","3.6740 ","[27.1774]","3.6795 ","[27.2180]","3.6768 ","[27.1977]"
"11 Mar 2019 (Monday)","1700","100 Korean Won ","KRW","100","0.3601 ","[276.6863]","0.3614 ","[277.6854]","0.3608 ","[277.1849]"
"11 Mar 2019 (Monday)","1700","100 Phillippine Peso ","PHP","100","7.8198 ","[12.7700]","7.8308 ","[12.7881]","7.8253 ","[12.7791]"
"11 Mar 2019 (Monday)","1700","100 Saudi Arabian Riyal ","SAR","100","108.9750 ","[0.9165]","109.1142 ","[0.9176]","109.0446 ","[0.9171]"
"11 Mar 2019 (Monday)","1700","1 Singapore Dollar","SGD","1","3.0074 ","[0.3320]","3.0121 ","[0.3325]","3.0098 ","[0.3323]"
"11 Mar 2019 (Monday)","1700","1 Swiss Franc ","CHF","1","4.0546 ","[0.2462]","4.0611 ","[0.2466]","4.0578 ","[0.2464]"
"11 Mar 2019 (Monday)","1700","100 Taiwanese New Dollar ","TWD","100","13.2150 ","[7.5506]","13.2440 ","[7.5672]","13.2295 ","[7.5589]"
"11 Mar 2019 (Monday)","1700","100 Thai Baht ","THB","100","12.8806 ","[7.7493]","12.9044 ","[7.7636]","12.8925 ","[7.7564]"
"11 Mar 2019 (Monday)","1700","1 U.K. Pound ","GBP","1","5.3119 ","[0.1880]","5.3200 ","[0.1883]","5.3159 ","[0.1881]"
"11 Mar 2019 (Monday)","1700","1 U.S. Dollar ","USD","1","4.0870 ","[0.2444]","4.0920 ","[0.2447]","4.0895 ","[0.2445]"
"11 Mar 2019 (Monday)","1700","100 Vietnamese Dong ","VND","100","0.0176 ","[5,669.09]","0.0176 ","[5,676.30]","0.0176 ","[5,672.70]"
"11 Mar 2019 (Monday)","1700","1 IMF Special Drawing Right ","SDR","1","-","-","-","-","5.6877 ","[0.1758]"
"11 Mar 2019 (Monday)","1700","1 New Zealand Dollar","NZD","1","2.7837 ","[0.3586]","2.7887 ","[0.3592]","2.7862 ","[0.3589]"
"11 Mar 2019 (Monday)","1700","100 Myanmar Kyat","MMK","100","0.2717 ","[367.5464]","0.2721 ","[368.0083]","0.2719 ","[367.7772]"
"11 Mar 2019 (Monday)","1700","100 Indian Rupee","INR","100","5.8436 ","[17.0894]","5.8516 ","[17.1128]","5.8476 ","[17.1011]"
"11 Mar 2019 (Monday)","1700","100 United Arab Emirates Dirham UAE","AED","100","111.2684 ","[0.8976]","111.4076 ","[0.8987]","111.3380 ","[0.8982]"
"11 Mar 2019 (Monday)","1700","100 Pakistan Rupee","PKR","100","2.8986 ","[33.8392]","2.9552 ","[34.4996]","2.9269 ","[34.1662]"
"11 Mar 2019 (Monday)","1700","100 Nepalese  Rupee","NPR","100","3.6524 ","[27.3436]","3.6572 ","[27.3795]","3.6548 ","[27.3615]"
