thedate,thetime,curName,currCode,unit,buyingVal,invBuyingVal,sellingVal,invSellingVal,middleRate, invMiddleRate
"12 Mar 2019 (Tuesday)","1700","1 Australian Dollar ","AUD","1","2.8867 ","[0.3458]","2.8916 ","[0.3464]","2.8892 ","[0.3461]"
"12 Mar 2019 (Tuesday)","1700","1 Brunei Dollar ","BND","1","3.0102 ","[0.3318]","3.0136 ","[0.3322]","3.0119 ","[0.3320]"
"12 Mar 2019 (Tuesday)","1700","1 Canadian Dollar ","CAD","1","3.0451 ","[0.3280]","3.0489 ","[0.3284]","3.0470 ","[0.3282]"
"12 Mar 2019 (Tuesday)","1700","100 Cambodian Riel ","KHR","100","0.1022 ","[966.47]","0.1035 ","[978.44]","0.1028 ","[972.42]"
"12 Mar 2019 (Tuesday)","1700","1 Chinese Renminbi ","CNY","1","0.6083 ","[1.6419]","0.6091 ","[1.6439]","0.6087 ","[1.6429]"
"12 Mar 2019 (Tuesday)","1700","1 EURO","EUR","1","4.6055 ","[0.2168]","4.6116 ","[0.2171]","4.6085 ","[0.2170]"
"12 Mar 2019 (Tuesday)","1700","100 Hong Kong Dollar ","HKD","100","52.0064 ","[1.9209]","52.0580 ","[1.9228]","52.0322 ","[1.9219]"
"12 Mar 2019 (Tuesday)","1700","100 Indonesian Rupiah ","IDR","100","0.0286 ","[3,490]","0.0287 ","[3,495]","0.0286 ","[3,492]"
"12 Mar 2019 (Tuesday)","1700","100 Japanese Yen","JPY","100","3.6637 ","[27.2580]","3.6686 ","[27.2945]","3.6662 ","[27.2763]"
"12 Mar 2019 (Tuesday)","1700","100 Korean Won ","KRW","100","0.3611 ","[276.1703]","0.3621 ","[276.9308]","0.3616 ","[276.5500]"
"12 Mar 2019 (Tuesday)","1700","100 Phillippine Peso ","PHP","100","7.7305 ","[12.9133]","7.7440 ","[12.9357]","7.7373 ","[12.9245]"
"12 Mar 2019 (Tuesday)","1700","100 Saudi Arabian Riyal ","SAR","100","108.8551 ","[0.9177]","108.9675 ","[0.9187]","108.9113 ","[0.9182]"
"12 Mar 2019 (Tuesday)","1700","1 Singapore Dollar","SGD","1","3.0098 ","[0.3318]","3.0139 ","[0.3322]","3.0118 ","[0.3320]"
"12 Mar 2019 (Tuesday)","1700","1 Swiss Franc ","CHF","1","4.0489 ","[0.2466]","4.0545 ","[0.2470]","4.0517 ","[0.2468]"
"12 Mar 2019 (Tuesday)","1700","100 Taiwanese New Dollar ","TWD","100","13.2060 ","[7.5576]","13.2318 ","[7.5723]","13.2189 ","[7.5649]"
"12 Mar 2019 (Tuesday)","1700","100 Thai Baht ","THB","100","12.8907 ","[7.7450]","12.9115 ","[7.7575]","12.9011 ","[7.7513]"
"12 Mar 2019 (Tuesday)","1700","1 U.K. Pound ","GBP","1","5.3971 ","[0.1850]","5.4044 ","[0.1853]","5.4007 ","[0.1852]"
"12 Mar 2019 (Tuesday)","1700","1 U.S. Dollar ","USD","1","4.0825 ","[0.2447]","4.0865 ","[0.2449]","4.0845 ","[0.2448]"
"12 Mar 2019 (Tuesday)","1700","100 Vietnamese Dong ","VND","100","0.0176 ","[5,676.75]","0.0176 ","[5,682.56]","0.0176 ","[5,679.66]"
"12 Mar 2019 (Tuesday)","1700","1 IMF Special Drawing Right ","SDR","1","-","-","-","-","5.6670 ","[0.1765]"
"12 Mar 2019 (Tuesday)","1700","1 New Zealand Dollar","NZD","1","2.7932 ","[0.3574]","2.7976 ","[0.3580]","2.7954 ","[0.3577]"
"12 Mar 2019 (Tuesday)","1700","100 Myanmar Kyat","MMK","100","0.2714 ","[368.0411]","0.2717 ","[368.4140]","0.2716 ","[368.2274]"
"12 Mar 2019 (Tuesday)","1700","100 Indian Rupee","INR","100","5.8655 ","[17.0299]","5.8720 ","[17.0490]","5.8687 ","[17.0394]"
"12 Mar 2019 (Tuesday)","1700","100 United Arab Emirates Dirham UAE","AED","100","111.1338 ","[0.8988]","111.2639 ","[0.8998]","111.1988 ","[0.8993]"
"12 Mar 2019 (Tuesday)","1700","100 Pakistan Rupee","PKR","100","2.8954 ","[33.9533]","2.9452 ","[34.5377]","2.9203 ","[34.2430]"
"12 Mar 2019 (Tuesday)","1700","100 Nepalese  Rupee","NPR","100","3.6660 ","[27.2483]","3.6700 ","[27.2774]","3.6680 ","[27.2628]"
